1234567890,,100
通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16
111.073,117.138,104.435,112.35,115.784,107.849,112.827,106.743,104.053,111.74,106.19,108.059,105.37,104.778,2.068,10.288
98.389,123.432,114.62,110.519,106.438,112.465,119.751,98.961,105.98,110.901,101.65,105.007,103.901,103.596,-0.298,3.651
117.634,104.702,106.667,111.626,114.582,110.31,119.274,110.023,106.571,112.293,105.999,105.579,106.876,104.187,10.555,1.572
104.568,109.737,112.484,106.857,100.868,105.37,115.707,108.669,106.514,118.53,104.13,109.127,110.748,114.525,4.166,4.776
109.737,112.827,97.225,111.32,101.669,101.917,109.394,105.656,103.119,121.754,111.244,114.944,117.996,120.419,7.618,7.79
98.427,110.405,104.912,106.876,98.465,104.34,109.776,108.631,110.996,119.427,112.083,111.626,118.187,116.795,2.907,1.991
107.468,103.596,104.111,102.947,107.258,108.746,115.402,109.528,112.064,119.37,112.427,111.645,109.566,109.585,6.874,4.738
101.517,100.697,106.743,98.064,115.135,111.492,117.5,108.459,110.882,118.931,107.754,105.198,108.44,109.756,5.615,0.618
109.451,98.064,111.74,119.56,101.86,108.631,117.023,107.143,104.053,115.669,106.113,107.124,107.506,111.282,10.727,-4.951
117.691,116.776,103.119,110.996,103.138,107.277,108.898,103.004,104.473,115.822,106.686,106.323,109.127,110.691,0.313,14.942
109.28,115.822,107.563,115.917,102.814,105.274,111.32,105.675,103.443,113.724,104.321,106.762,108.173,107.391,0.675,4.28
107.353,117.882,106.266,108.402,110.729,110.481,113.323,105.141,106.342,111.473,97.073,115.784,105.35,107.849,2.392,6.836
109.299,104.721,111.187,111.454,109.451,109.871,117.405,112.083,109.184,111.492,103.901,107.353,106.895,107.048,2.258,0.961
109.222,108.288,108.192,107.697,111.244,104.759,116.833,115.25,105.522,114.754,108.192,110.443,107.811,114.067,7.179,5.787
110.157,106.647,109.871,110.577,94.936,104.244,111.435,109.718,107.372,114.887,112.503,114.22,116.833,117.1,5.081,4.452
109.909,110.291,98.122,120.934,103.481,104.836,110.882,107.391,109.337,117.805,109.89,115.574,113.914,113.991,1.343,8.305
100.029,99.342,115.25,107.067,102.146,106.705,117.5,108.212,107.468,119.255,109.451,109.89,114.658,111.511,-3.12,3.765
111.816,100.163,101.536,102.699,108.25,104.797,115.574,113.266,110.577,119.656,106.209,112.713,109.642,114.83,7.179,5.768
98.77,102.432,105.427,115.288,98.255,107.449,113.018,106.495,104.855,117.958,107.487,113.609,109.07,114.563,3.899,3.212
113.018,118.187,100.124,113.876,103.367,105.236,109.737,106.304,99.857,108.536,112.637,114.258,113.609,113.438,3.288,10.517
109.604,114.582,114.201,111.473,106.934,106.19,109.413,107.487,106.228,110.062,111.53,108.479,104.473,105.045,-1.022,5.405
115.002,113.266,111.416,108.86,110.348,103.176,119.007,114.315,105.656,107.658,104.206,108.86,101.326,107.487,8.877,3.574
106.972,105.923,115.345,102.146,119.408,109.966,117.481,110.672,104.454,111.282,101.421,101.631,102.432,106.304,2.029,6.817
106.628,98.026,117.558,110.462,97.607,109.795,120.209,115.269,107.83,113.19,109.509,109.985,110.233,111.778,5.901,-4.131
119.808,117.1,98.351,107.716,99.705,102.737,110.977,119.694,116.146,120.609,113.457,110.5,114.487,118.435,11.509,14.675
92.915,105.103,106.934,113.724,97.702,98.579,112.808,106.552,103.596,124.424,110.176,123.833,120.323,115.498,6.721,4.28
105.598,97.664,101.803,105.865,105.808,104.836,113.838,111.263,109.47,122.078,125.359,120.228,109.222,109.375,1.724,4.452
106.953,90.74,112.942,113.152,119.884,105.331,111.893,113.323,106.342,123.127,102.203,101.116,121.162,118.759,9.754,10.136
100.582,116.241,104.416,101.135,99.037,117.558,132.511,108.746,105.484,114.639,103.081,111.969,114.944,111.263,6.34,-0.584
108.059,115.021,106.19,115.669,92.285,105.064,111.549,71.857,114.639,113.38,111.855,110.291,110.634,109.871,-1.385,5.615
117.367,135.162,101.669,118.092,108.841,112.56,110.004,109.146,80.288,110.1,118.568,108.326,104.13,107.01,1.705,1.133
112.961,123.394,110.271,131.348,108.25,97.34,114.639,128.677,123.07,120.094,102.699,122.669,89.291,107.239,12.367,8.266
105.103,84.656,101.307,96.539,109.699,110.71,121.124,94.421,108.631,108.898,101.574,105.274,101.898,110.538,-17.769,-3.33
103.539,108.459,110.577,106.628,106.113,109.699,125.874,116.89,104.034,129.478,108.784,105.503,105.446,107.048,4.223,-0.87
153.187,109.642,93.086,111.607,103.901,106.19,113.132,104.912,90.683,107.391,110.634,128.086,115.803,120.152,9.964,4.776
105.045,126.255,86.754,112.122,101.65,106.857,110.367,104.53,107.296,119.083,120.285,124.29,127.647,122.383,0.027,5.997
106.38,104.893,105.846,129.23,104.53,116.127,110.538,108.212,111.931,119.179,112.465,121.181,110.329,99.857,10.345,3.193
100.201,107.239,101.879,96.405,105.579,95.242,108.44,128.963,113.819,119.884,108.44,108.555,111.206,107.983,6.702,-19.81
99.342,93.487,111.816,113.132,103.024,107.735,106.762,116.013,117.634,119.522,106.934,110.882,113.171,111.473,1.4,4.395
106.953,83.53,103.71,109.318,104.053,104.988,104.969,109.795,91.351,129.841,122.898,111.187,110.023,113.686,6.416,10.269
121.01,118.416,110.481,137.833,102.261,105.885,110.271,104.454,105.885,112.522,106.285,117.1,121.811,107.944,-0.069,7.141
107.43,111.301,115.822,114.697,129.288,116.508,116.07,108.021,105.77,105.465,84.541,112.16,105.675,122.974,-8.461,9.621
107.315,104.626,113.667,117.1,112.103,111.74,124.672,108.364,104.454,113.647,99.4,104.092,103.233,103.577,-1.366,12.691
