1234567890,,100
Plane 1,Plane 2,Plane 3,Plane 4,Plane 5,Plane 6,Plane 7,Plane 8,Plane 9,Plane 10,Plane 11,Plane 12,Plane 13,Plane 14,outlet,inlet
 4.26190224e+001, 9.26319809e+001, 9.19202042e+001, 4.28568993e+001, 3.99162292e+001, 3.60859718e+001, 3.13164978e+001, 2.68807106e+001, 2.34690247e+001, 1.79473686e+001, 1.35602388e+001, 8.75896168e+000, 5.09755230e+000, 1.72049606e+000, -1.24943070e-003, 6.45025940e+001
 -1.78817102e+003, -4.28464600e+002, -6.85809708e+001, -2.22392426e+001, 6.73157597e+000, 1.84045353e+001, 2.20294571e+001, 2.20642204e+001, 2.08523293e+001, 1.63280087e+001, 1.28121490e+001, 8.48499012e+000, 4.94620752e+000, 1.65421939e+000, -1.30873581e-003, -4.00941846e+003
 -2.65795215e+003, -1.02574939e+003, -3.26931976e+002, -1.65832718e+002, -7.40228424e+001, -2.71370258e+001, -3.11521721e+000, 8.44700336e+000, 1.35702782e+001, 1.18685160e+001, 1.05236826e+001, 7.40186405e+000, 4.45562744e+000, 1.50235724e+000, -1.30968855e-003, -3.01675586e+003
 -1.69995020e+003, -1.15994470e+003, -6.06177124e+002, -4.26207794e+002, -2.47978409e+002, -1.37835281e+002, -7.03437881e+001, -3.10265942e+001, -8.98698139e+000, -2.48949337e+000, 2.60959268e+000, 3.18488073e+000, 2.42450547e+000, 9.01015818e-001, -1.31856464e-003, -1.41261133e+003
 -1.03815865e+002, -6.89489990e+002, -7.76366150e+002, -7.51282166e+002, -5.20686584e+002, -3.41812164e+002, -2.11011337e+002, -1.22583763e+002, -6.59706802e+001, -4.08616066e+001, -1.98123283e+001, -9.37404156e+000, -3.87667179e+000, -1.01310909e+000, -1.31525740e-003, 1.97310776e+002
 7.77179382e+002, -2.25419571e+002, -8.53331604e+002, -1.02357697e+003, -8.26885071e+002, -6.22034485e+002, -4.37224976e+002, -2.89870392e+002, -1.81705505e+002, -1.24407341e+002, -7.23885956e+001, -4.05302238e+001, -2.01618271e+001, -6.05486250e+000, -1.34178984e-003, 1.06660095e+003
 4.93963135e+002, -3.33062836e+002, -9.48509460e+002, -1.16173669e+003, -1.06682642e+003, -9.07862732e+002, -7.17863464e+002, -5.32070801e+002, -3.72137482e+002, -2.73877441e+002, -1.75593552e+002, -1.06180717e+002, -5.61772766e+001, -1.75773697e+001, -1.41208689e-003, 7.71436157e+002
 -6.46876953e+002, -9.28897217e+002, -1.09632080e+003, -1.18146350e+003, -1.18105640e+003, -1.11326514e+003, -9.79516174e+002, -8.05123779e+002, -6.21253174e+002, -4.89427490e+002, -3.40305237e+002, -2.19694855e+002, -1.22070488e+002, -3.91362610e+001, -1.48610678e-003, -5.13394226e+002
 -1.91959253e+003, -1.53464600e+003, -1.23870496e+003, -1.17166565e+003, -1.19557373e+003, -1.20080359e+003, -1.15073743e+003, -1.03711230e+003, -8.76249451e+002, -7.36437744e+002, -5.52261719e+002, -3.78921722e+002, -2.19962677e+002, -7.21316605e+001, -1.64914445e-003, -2.03392725e+003
 -2.60060498e+003, -1.82176086e+003, -1.34953577e+003, -1.21688794e+003, -1.19409070e+003, -1.20802148e+003, -1.21262976e+003, -1.17101636e+003, -1.06839258e+003, -9.51664612e+002, -7.64480469e+002, -5.54679810e+002, -3.34902802e+002, -1.12054337e+002, -1.91286730e-003, -2.89833447e+003
